Ep 0	Last score: 38.79	Moving average score: 0.39
Ep 1	Last score: -42.08	Moving average score: -0.04
Ep 2	Last score: -48.55	Moving average score: -0.52
Ep 3	Last score: -44.67	Moving average score: -0.96
Ep 4	Last score: -37.38	Moving average score: -1.33
Ep 5	Last score: -48.06	Moving average score: -1.79
Ep 6	Last score: -41.41	Moving average score: -2.19
Ep 7	Last score: 37.65	Moving average score: -1.79
Ep 8	Last score: -50.99	Moving average score: -2.28
Ep 9	Last score: 22.05	Moving average score: -2.04
Ep 10	Last score: -49.83	Moving average score: -2.52
ENV RESTARTING
Ep 10	Last score: 10.32	Moving average score: -2.39
Ep 11	Last score: -42.08	Moving average score: -2.79
Ep 12	Last score: -47.85	Moving average score: -3.24
Ep 13	Last score: -45.12	Moving average score: -3.66
Ep 14	Last score: -36.43	Moving average score: -3.98
Ep 15	Last score: -50.32	Moving average score: -4.45
Ep 16	Last score: -40.11	Moving average score: -4.80
Ep 17	Last score: 33.60	Moving average score: -4.42
Ep 18	Last score: -47.48	Moving average score: -4.85
Ep 19	Last score: 29.92	Moving average score: -4.50
Ep 20	Last score: -50.28	Moving average score: -4.96
ENV RESTARTING
Ep 20	Last score: 21.00	Moving average score: -4.70
Ep 21	Last score: -44.64	Moving average score: -5.10
Ep 22	Last score: -47.60	Moving average score: -5.53
Ep 23	Last score: -45.92	Moving average score: -5.93
Ep 24	Last score: -35.23	Moving average score: -6.22
Ep 25	Last score: -47.41	Moving average score: -6.64
Ep 26	Last score: -40.56	Moving average score: -6.97
Ep 27	Last score: 41.70	Moving average score: -6.49
Ep 28	Last score: -46.83	Moving average score: -6.89
Ep 29	Last score: 57.48	Moving average score: -6.25
Ep 30	Last score: -49.98	Moving average score: -6.68
ENV RESTARTING
Ep 30	Last score: 42.35	Moving average score: -6.19
Ep 31	Last score: -42.89	Moving average score: -6.56
Ep 32	Last score: -49.64	Moving average score: -6.99
Ep 33	Last score: -47.02	Moving average score: -7.39
Ep 34	Last score: -36.43	Moving average score: -7.68
Ep 35	Last score: -49.47	Moving average score: -8.10
Ep 36	Last score: -42.31	Moving average score: -8.44
Ep 37	Last score: 37.65	Moving average score: -7.98
Ep 38	Last score: -50.59	Moving average score: -8.41
Ep 39	Last score: 29.92	Moving average score: -8.02
Ep 40	Last score: -49.83	Moving average score: -8.44
ENV RESTARTING
Ep 40	Last score: 24.56	Moving average score: -8.11
Ep 41	Last score: -41.73	Moving average score: -8.45
Ep 42	Last score: -48.45	Moving average score: -8.85
Ep 43	Last score: -44.62	Moving average score: -9.21
Ep 44	Last score: -36.43	Moving average score: -9.48
Ep 45	Last score: -48.01	Moving average score: -9.86
